Word	Definition	Example
invalidate	weaken; destroy	The relatives who received little or nothing sought to invalidate the will by claiming that the deceased had not been in his right mind when he signed the document.
invective	abuse	He had expected criticism but not the invective that greeted his proposal.
inveigh	denounce; utter censure or invective He inveighed against the demagoguery of the previous speaker and urged that the audience reject his	philosophy as dangerous.
inveigle	lead astray; wheedle	She was inveigled into joining the club after an initial reluctance.
inverse	opposite	There is an inverse ratio between the strength of light and its distance.
invert	turn upside down or inside out	When he inverted his body in a hand stand, he felt the blood rush to his head.
inveterate	deep-rooted; habitual	She is an inveterate smoker and cannot break the habit.
invidious	designed to create ill will or envy	We disregarded her invidious remarks because we realized how jealous she was.
invincible	unconquerable	Superman is invincible.
inviolability	security from being destroyed, corrupted or profaned	They respected the inviolability of her faith and did not try to change her manner of living.
invoke	call upon; ask for	She invoked her advisor's aid in filling out her financial aid forms.
invulnerable	incapable of injury	Achilles was invulnerable except in his heel.
iota	very small quantity	She hadn't an iota of common sense.
irascible	irritable; easily angered	Her irascible temper frightened me.
irate	angry	When John's mother found out that he had overthrown his checking account for the third month in a row, she was so irate that she could scarcely speak to him.
iridescent	exhibiting rainbowlike colors	She admired the iridescent hues of the oil that floated on the surface of the water.
irksome	annoying; tedious	He found working on the assembly line irksome because of the monotony of the operation he had to perform.
ironic	occurring in an unexpected and contrary manner	It is ironic that his success came when he least wanted it.
irony	hidden sarcasm or satire; use of words that convey a meaning opposite to the literal meaning	Gradually his listeners began to realize that the excessive praise he was lavishing was merely irony; he was actually denouncing his opponent.
irreconsilable	incompatible; not able to be resolved	Because the separated couple were irreconcilable, the marriage counselor recommended a divorce.
irrelevant	not applicable; unrelated	This statement is irrelevant and should be disregarded by the jury.
irremediable	incurable; uncorrectable	The error she made was irremediable; she could see no way to repair it.
irreparable	not able to be corrected or repaired	Your apology cannot atone for the irreparable damage you have done to her reputation.
irrepressible	unable to be restrained or held back	Her high spirits were irrepressible.
irresolute	uncertain how to act; weak	She had no respect for him because he seemed weak-willed and irresolute.
irreverent	lacking proper respect	The worshippers resented her irreverent remarks about their faith.
irrevocable	unalterable	Let us not brood over past mistakes since they are irrevocable.
isotope	varying form of an element	The study of the isotopes of uranium led to the development of the nuclear bomb.
isthmus	narrow neck of land connecting two larger bodies of land	In a magnificent feat of engineering, Goethals and his men cut through the isthmus of Panama in constructing the Panama Canal.
itinerant	wandering; traveling	He was an itinerant peddler and traveled through Pennsylvania and Virginia selling his wares.
itinerary	plan of a trip	Before leaving for his first visit to France and England, he discussed his itinerary with people who had been there and with his travel agent.
jaded	fatigued; surfeited	He looked for exotic foods to stimulate his jaded appetite.
jargon	language used by special group; gibberish	We tried to understand the jargon of the peddlers in the market place but could not find any basis for comprehension.
jaundiced	yellowed; prejudiced; envious	She gazed at the painting with jaundiced eyes; she knew it was better than hers.
jaunt	trip; short journey	He took a quick jaunt to Atlantic City.
jaunty	lighthearted; animated; easy and carefree	In Singing in the Rain, Gene Kelly sang and danced his way throughtthe lighthearted title number in a properly jaunty style.
jeopardy	exposure to death or danger	Legally, one cannot be placed in double jeopardy.
jettison	throw overboard	In order to enable the ship to ride safely through the storm, the captain had to jettison much of his cargo.
jingoism	extremely aggressive and militant patriotism	We must be careful to prevent a spirit of jingoism from spreading at this time.
jocose	given to joking	The salesman was so jocose that many of his customers suggested that he become a stand-up comic.
jocular	said or done in jest	Do not take my jocular remarks seriously.
jocund	merry	Santa Claus is always vivacious and jocund.
jollity	gaiety; cheerfulness	The festive Christmas dinner was a merry one, and old and young alike joined in the general jollity.
jostle	shove; bump	In the subway he was jostled by the crowds.
jovial	good natured; merry	A frown seemed out of place on his invariably jovial face.
jubilation	rejoicing	There was great jubilitation when the armistice was announced.
judicious	sound in judgment; wise	At a key moment in his life, he made a judicious investment that was the foundation of his later wealth.
juggernaut	irresistible crushin force	Nothing could survive in the path of the juggernaut.
juncture	crisis;joining point	At this critical juncture, let us think carefully before determining the course we shall follow.
junket	trip, especially one taken for pleasure by an official at public expense	Though she maintained she had gone abroad to collect firsthand data on the Common Market, the opposition claimed that her trip was merely a political junket.
junta	group of persons joined in political intrigue; cabal	As soon as he learned of its existence, the dictator ordered the execution of all of the members of the junta.
jurisprudence	science of law	He was more a student of jurisprudence than a practitioner of the law.
juxtapose	place side by side	Comparison will be easier if you juxtapose the two objects.
kaleidoscope	tube in which patterns made by the reflection in mirrors of colored pieces of glass, etc.,	produce interesting symmetrical effects People found a new source of entertainment while peering through the kaleidoscope; they found the ever- changing patterns fascinating.
ken	range of knowledge	I cannot answer your question since this matter is beyond my ken.
killjoy	grouch; spoilsport	At breakfast we had all been enjoying our bacon and eggs until that killjoy John started talking about how bad animal fats and cholesterol were for our health.
kindle	start a fire; inspire	Her teacher's praise kindled a spark a hope inside her.
kindred	related; similar in nature or character	Tom Sawyer and Huck Finn were two kindred spirits.
kinetic	producing motion	Designers of the electric automobile find that their greatest obstacle lies in the development of light and efficient storage batteries, the source of the kinetic energy needed to propel the vehicle.
kismet	fate	kismet is the Arabic word for "fate".
kleptomaniac	person who has a compulsive desire to steal	They discovered that the wealthy customer was a kleptomaniac when they caught her stealing some cheap trinkets.
knavery	rascality	We cannot condone such knavery in public officials.
knead	mix; work dough	Her hands grew strong from kneading bread.
knell	tolling of a bell, especially to indicate a funeral, disaster, etc.; sound of the funeral bell	"The curfew tolls the knell of parting day".
knit	contract into wrinkles	Whenever David worries, his brow knits in a frown.
knoll	little, round hill	Robert Louis Stevenson's grave is on a knoll in Samoa; to reach the grave site, you must climb uphill and walk a short distance along a marked path.
knotty	intricate; difficult; tangled	What to Watson had been a knotty problem to Sherlock Holmes was simplicity itself.
kudos	honor; glory; praise	The singer complacently received kudos on his performance from his entourage.
labile	likely to change; unstable	Because the hormonal changes they undergo affect their spirits, adolescents may become emotionally labile and experience sudden shifts of mood.
laborious	demanding much work or care; tedious	In putting together his dictionary of the English language, Doctor Johnson undertook a laborious task.
labyrinth	maze	Tom and Becky were lost in the labyrinth of secret caves.
lacerate	mangle; tear	Her body was lacerated in the automobile crash.
lachrymose	producing tears	His voice has a lachrymose quality that is more appropriate at a funeral than a class reunion.
lackadaisical	affectedly languid	He was lackadaisical and indifferent about his part in the affair.
lackluster	dull	We were disappointed by the lackluster performance.
laconic	brief and to the point	Many of the characters portrayed by Clint Eastwood are laconic types: strong men of few words.
laggard	slow; sluggish	The sailor had been taught not to be laggard in carrying out orders.
lagoon	shallow body of water near a sea; lake	They enjoyed their swim in the calm lagoon.
laity	laypersons; persons not connected with the clergy	The laity does not always understand the clergy's problems.
lambaste	beat; thrash verbally or physically	It was painful to watch the champion lambaste his opponent, tearing into him mercilessly.
lament	grieve; express sorrow	Even advocates of the war lamented the loss of so many lives in combat.
lampoon	ridicule	This article lampoons the pretensions of some movie moguls.
languid	weary; sluggish; listless	Her siege of illness left her languid and pallid.
languish	lose animation; lose strength	In stories, lovelorn damsels used to languish and pine away.
languor	lassitude; depression	His friends tried to overcome the languor into which he had fallen by taking him to parties and to the theater.
lank	long and thin	lank, gaunt, Abraham Lincoln was a striking figure.
larceny	theft	Because of the prisoner's record, the district attorney refused to reduce the charge from grand larceny to petit larceny.
larder	pantry; place where food is kept	The first thing Bill did on returning home from school was to check what snacks his mother had in the larder.
largess	generous gift	Lady Bountiful distributed largess to the poor.
lascivious	lustful	Because they might arouse lascivious impulses in their readers, the lewd books were banned by the clergy.
lassitude	languor; weariness	The hot, tropical weather created a feeling of lassitude and encouraged drowsiness.
latent	dormant; hidden	Her latent talent was discovered by accident.
lateral	coming from the side	In order to get good plant growth, the gardener must pinch off all lateral shoots.
latitude	freedom from narrow limitations	I think you have permitted your son too much latitude in this matter.
laudable	praiseworthy; commendable	His laudable deeds will be remarked by all whom he aided.
laudatory	expressing praise	The critics' laudatory comments helped to make her a star.
lavish	liberal; wasteful	The actor's lavish gifts pleased her.
lax	careless	We dislike restaurants where the service is lax and inattentive.
laxative	facilitating evacuation of the bowels	The effect of the constipation medicine is laxative; it empties the bowels.
leaven	cause to rise or grow lighter; enliven	As bread dough is leavened, it puffs up, expanding in volume.
lechery	gross lewdness; lustfulness	In his youth he led a life of lechery and debauchery; he did not mend his ways until middle age.
lectern	reading desk	The chaplain delivered his sermon from a hastily improvised lectern.
leery	suspicious; cautious	Don't eat sushi at this restaurant; I'm a bit leery about how fresh it is.
leeway	room to move; margin	When you set a deadline, allow a little leeway.
legacy	a gift made by a will	Part of my legacy from my parents is an album of family photographs.
legend	explanatory list of symbols on a map	The legend at the bottom of the map made it clear which symbols stood for rest areas along the highway and which stood for public camp sites.
legerdemain	sleight of hand	The magician demonstrated his renowned legerdemain.
leniency	mildness; permissiveness	Considering the gravity of the offense, we were surprised by the leniency of the sentence.
leonine	like a lion	He was leonine in his rage.
lethal	deadly	It is unwise to leave lethal weapons where children may find them.
lethargic	drowsy; dull	The stuffy room made her lethargic; she felt as if she was about to nod off.
levee	earthen or stone embankment to prevent flooding	As the river rose and threatened to overflow the levee, emergency workers rushed to reinforce the walls with sandbags.
levitate	float in the air (especially by magical means)	As the magician passed his hands over the recumbent body of his assistant, she appeared to rise and levitate about three feet above the table.
levity	lack of seriousness or steadiness; frivolity	Stop giggling abd wriggling around in the pew; such levity is improper in church.
levy	impose (a fine); collect (a payment)	Crying "No taxation withouth representation," the colonists demonstrated against England's power to levy taxes.
lewd	lustful	They found his lewd stories objectionable.
lexicographer	compiler of a dictionary	The new dictionary is the work of many lexicographers who spent years compiling and editing the work.
lexicon	dictionary	I cannot find this word in any lexicon in the library.
liability	drawback; debts	Her lack of an extensive vocabulary was a liability that she was able to overcome.
liaison	officer who acts as go-between for two armies; intermediary	As the liason, he had to avoid offending the leaders of the two armies.
libelous	defamatory; injurious to the good name of a person	He sued the newspaper because of its libelous story.
libertine	debauched person, roue Although she was aware of his reputation as a libertine, she felt she could reform him and help him break	his dissolute way of life.
libidinous	lustful	They objected to his libidinous behavior.
libido	emotional urges behind human activity	The psychiatrist maintained that suppression of the libido often resulted in maladjustment and neuroses.
libretto	text of an opera	The composer of an opera's music is remembered more frequently than the author of its libretto.
licentious	wanton; lewd; dissolute	The licentious monarch helped bring about his country's downfall.
lien	legal claim on a property	There was a delay before Ralph could take possession of his late uncle's home; apparently, another claimant had a lien upon the estate.
ligneous	like wood	Petrified wood may be ligneous in appearance, but it is stonelike in composition.
lilliputian	extremely small	Tiny and delicate, the model was built on a lilliputian scale.
limber	flexible	Hours of ballet classes kept him limber.
limbo	region near heaven or hell where certain souls are kept	Among the divisions of Hell are Purgatory and limbo.
limn	draw; outline; describe	Parodoxically, the more realistic the details this artist chooses, the better able to limn her fantastic, other- worldly landscapes.
limpid	clear	A limpid stream ran through his property.
lineage	descent; ancestry	He traced his lineage back to Mayflower days.
lineaments	features, especially of the face	She quickly sketched the lineaments of his face.
linguistic	pertaining to language	The modern tourist will encounter very little linguistic difficulty as English has become an almost universal language.
lionize	treat as a celebrity	She enjoyed being lionized and adored by the public.
liquidate	settle accounts; clear up	He was able to liquidate all his debts in short period of time.
list	tilt; lean over	That flagpole should be absolutely vertical; instead, it lists to one side.
listless	lacking in spirit or energy	We had expected him to be full of enthusiasm and were surprised by his listless attitude.
litany	supplicatory prayer	On this solemn day, the congregation responded to the prayers of the priest during the litany with fervor and intensity.
lithe	flexible; supple	Her figure was lithe and willowy.
litigation	lawsuit	Try to settle this amicably; I do not want to start litigation.
litotes	understatement for emphasis	To say, "He little realizes," when we mean that he does not realize at all, is an example of the kind of understatement we call litotes.
livid	lead-coloredl; black and blue; ashen; enraged	His face was so livid with rage that we were afraid that he might have an attack of apoplexy.
loath	averse; reluctant	They were both loath for him to go.
loathe	detest	We loathed the wicked villain.
lode	metal-bearing vein	If this lode that we have discovered extends for any distance, we have found a fortune.
lofty	very high	They used to tease him about his lofty ambitions.
loiter	hang around; linger	The policeman told him not to loiter in the alley.
loll	lounge about	They lolled around in their chairs watching television.
longevity	long life	When he reached ninety, the old man was proud of his longevity.
lope	gallop slowly	As the horses loped along, we had an opportunity to admire the ever-changing scenery.
loquacious	talkative	She is very loquacious and can speak on the telephone for hours.
lout	clumsy person	The delivery boy is an awkward lout.
low	moo	From the hilltop, they could see the herd like ants in the distance; they could barely hear the cattle low.
lucid	easily understood; clear; intelligible	Her explanation was lucid enought for a child to grasp.
lucrative	profitable	He turned his hobby into a lucrative profession.
lucre	money	Preferring lucre to undying fame, he wrote stories of popular appeal.
ludicrous	laughable; trifling	Let us be serious; this is not a ludicrous issue.
lugubrious	mournful	The lugabrious howling of the dogs added to our sadness.
lull	moment of calm	Not wanting to get wet, they waited under the awning for a lull in the rain.
lumber	move heavily of clumsily	Still somewhat torpid after its long hibernation, the bear lumbered through the woods.
lumen	unit of light energy (one candle's worth)	In buying light bulbs, she checked not only their power, as measured in watts, but their brightness, as measured in lumens.
luminary	celebrity; dignitary	A leading light of the American stage, Ethel Barrymore was a theatrical luminary whose name lives on.
luminous	shining; issuing light	The sun is a luminous body.
lunar	pertaining to the moon	lunar craters can be plainly seen with the aid of a small telescope.
lurid	wild; sensational	The lurid stories he told shocked his listeners.
lurk	stealthily lie in waiting; slink; exist unperceived	"Who knows what evils lurk in the hearts of men? The shadow knows".
luscious	pleasing to taste or smell	The ripe peach was luscious.
luster	shine; gloss	The soft luster of the silk in the dim light was pleasing.
lustrous	shining	Her large and lustrous eyes gave a touch of beauty to an otherwise drab face.
luxuriant	fertile; abundant; ornate	Farming was easy in this luxuriant soil.
macabre	gruesome; grisly	The city morgue is a macabre spot for the uninitiated.
mace	ceremonial staff; clublike medieval weapon	The Grand Marshal of the parade raised his mace to signal that it was time for the procession to begin.
macerate	soften by soaking in liquid; waste away	The strawberries had been soaking in the champagn for so long that they had begun to macerate: they literally fell apart at the touch of a spoon.
machiavellian	crafty; double-dealing	I do not think he will be a good embassador because he is not accustomed to the machiavellian maneuverings of foreign diplomats.
machinations	schemes	I can see through your wily machinations.
maculated	spotted; stained	Instead of writing that Gorbachev had a birthmark on his forehead, the pompous young poet sang of the former premier's maculated brow.
madrigal	pastoral song	His program of folk songs included several madrigals which he sang to the accompaniment of a lute.
maelstrom	whirlpool	The canoe was tossed about in the maelstrom.
magisterial	authoritative; imperious	The learned doctor laid down the law to his patient in a magisterial tone of voice.
magnanimity	generosity	Noted for his magnanimity, philanthropist Eugene Lang donated millions to charity.
magnate	person of prominence or influence	The steel magnate decided to devote more time to city politics.
magniloquent	boastful, pompous	In their stories of the trial, the reporters ridiculed the magniloquent speeches of the defense attorney.
magnitude	greatness; extent	It is difficult to comprehend the magnitude of his crime.
maim	mutilate; injure	The hospital could not take care of all who had been mangled or maimed in the railroad accident.
maladroit	clumsy; bungling	In his usual maladroit way, he managed to upset the cart and spill the food.
malaise	uneasiness; distress	She felt a sudden vague malaise when she heard sounds at the door.
malapropism	comic misuse of a word	When Mrs. Malaprop criticizes Lydia for being "as headstrong as an allegory on the banks of the Nile," she confuses "allegory" and "allegator" in a typical malapropism.
malcontent	person dissatisfied with existing state of affairs	He was one of the few malcontents in the Congress; he constantly voiced his objections to the Presidential program.
malediction	curse	The witch uttered maledictions against her captors.
malefactor	criminal	We must try to bring these malefactors to justice.
malevolent	wishing evil	We must thwart his malevolent schemes.
malfeasance	wrongdoing	The authorities did not discover the campaign manager's malfeasance until after he had spent most of the money he had embezzled.
malicious	dictated by hatred or spite	The malicious neighbor spread the gossip.
malign	speak evil of; defame	Because of her hatred of the family, she maligns all who are friendly to them.
malignant	having an evil influence; virulent	This is a malignant disease; we must have to use drastic measures to stop its spread.
malingerer	one who feigns illness to escape duty	The captain ordered the sergeant to punish all malingerers and force them to work.
malleable	capable of being shaped by pounding	Gold is a malleable metal.
malodorous	foul-smelling	The component heap was most malodorous in summer.
mammal	vertebrate animal whose female suckles its young	Many people regard the whale as a fish and do not realize that it is a mammal.
mammoth	gigantic	The mammoth corporations of the twentieth century are a mixed blessing
manacle	restrain; handcuff	The police immediately manacled the prisoner so he could not escape.
mandate	order; charge	In his inaugural address, the President stated that he had a mandate from the people to seek an end to social evils such as poverty and poor housing.
mandatory	obligatory	These instructions are mandatory; any violation will be severely punished.
mangy	shabby; wretched	We finally thew out the mangy rug that the dog had destroyed.
maniacal	raving mad	His maniacal laughter frightened us.
manifest	understandable; clear	His evil intentions were manifest and yet we could not stop him.
manifestation	outward demonstration; indication	Mozart's early attraction to the harsichord was the first manifestation of his pronounced musical bent.
manifesto	declaration; statement of policy	The Communist Manifesto by Marx and Engels proclaimed the principles of modern communism.
manifold	numerous; varied	I cannot begin to tell you how much I appreciate your manifold kindnesses.
manipulate	operate with the hands; control or change by artful means	How do you manipulate these puppets?
mannered	affected; not natural	Attempting to copy the style of his wealthy neighbors, Gatsby adopted a mannered, artificial way of speech.
manumit	emancipate; free from bondage	Enlightened slave owners were willing to manumit their slaves and thus put an end to the evil slavery in the country.
marital	pertaining to marriage	After the publication of his book on marital affairs, he was often consulted by married people on the verge of divorce.
maritime	bordering on the sea; nautical	The maritime Provinces depend on the sea for their wealth.
marked	noticeable; targeted for vengeance	He walked with a marked limp, a souvenir of an old IRA attack. As British ambassador, he knew he was a marked man.
marred	damaged; disfigured	She had to refinish the marred surface of the table.
marshal	put in order	At a debate tournament, extemporaneous speakers have only a minute or two to marshal their thoughts before addressing their audience.
marsupial	one of a family of mammals that nurse their offspring in a pouch	The most common marsupial in North America is the opposum.
martial	warlike	The sound of marital music was always inspiring to the young poet.
martinet	strict disciplinarian	The commanding officer was a martinet who observed each regulation to the ltter.
martrix	point of origin; array of numbers or algebraic symbols; mold or die	Some historians claim the Nile Valley was the matrix of the Western civilization.
masochist	person who enjoys his own pain	The masochist begs, "Hit me". The sadist smiles and says, "I won't".
masticate	chew	We must masticate our food carefully and slowly in order to avoid digestive disorders.
materialism	preoccupation with physical comforts and things	By its nature, materialism is opposed to idealism, for where the materialist emphasizes the needs of the body, the idealist emphasizes the needs of the soul.
maternal	motherly	Many animals display maternal instincts only while their offspring are young and helpless.
matriarch	woman who rules a family or larger social group	The matriarch ruled her gypsy tribe with a firm hand.
maudlin	effusively sentimental	I do not like such maudlin pictures. I call them tearjerkers.
maul	handle roughly	The rock star was mauled by his overexcited fans.
mausoleum	monumental tomb	His body was placed in the family mausolem.
mauve	pale purple	The mauve tint in the lilac bush was another indication that spring had finally arrived.
maverick	rebel; nonconformist	To the masculine literary establishment, George Sand with her insistence on wearing trousers and smoking cigars was clearly a maverick who fought her proper womanly role.
mawkish	sickening; insipid	Your mawkish sighs fill me with disgust.
maxim	proverb; a truth pithily stated	Aesop's fables illustrate moral maxims.
mayhem	injury to the body	The riot was marked not only by mayhem, with its attendant loss of life and limb, but also by arson and pillage.
meager	scanty; inadequate	His salary was far too meager for him to afford to buy a new car.
mealymouthed	indirect speech; hypocritical; evasive	Rather than tell Jill directly what he disliked, Jack made a few mealymouthed comments and tried to change the subject.
meander	to wind or turn in its course	It is difficult to sail up this stream because of the way it meanders through the countryside.
meddlesome	interfering	He felt his marriage was suffering because of his meddlesome mother-in-law.
mediate	settle a dispute through the services of an outsider	Let us mediate out differences rather than engage in a costly strike.
mediocre	ordinary; commonplace	We were disappointed because he gave a rather mediocre performance in this role.
meditation	reflection; thought	She reached her decision only after much meditation.
medley	mixture	The band played a medley of Gershwin tunes.
meek	submissive; patient and long-suffering	Mr. Barrett never expected his meek daughter would dare to defy him by eloping with her suitor.
megalomania	mania for doing grandiose things	Developers who spend millions trying to build the world's tallest skyscraper suffer from megalomania.
melee	fight	The captain tried to ascertain the cause of the melee that had broken out among the crew members.
mellifluous	flowing smoothly; smooth	Italian is a mellifluous language.
memento	token; reminder	Take this book as a memento of your visit.
memorialize	commemorate	Let us memorialize his great contribution by dedicating this library in his honor.
mendacious	lying; false	He was pathological liar, and his friends learned to discount his mendacious stories.
mendicant	beggar	From the moment we left the ship, we were surrounded by mendicants and peddlers.
menial	suitable for sevants; low	I cannot understand why a person of your ability and talent should engage in such menial activities.
mentor	counselor; teacher	During this very trying period, she could not have had a better mentor, for the teacher was sympathetic and understanding.
mercantile	concerning trade	I am more interested in the opportunites available in the mercantile field than I am in those in the legal profession.
mercenary	motivated solely by money or gain	"I'm not in this war because I get my kicks waving flags," said the mercenary soldier. "I'm in it for the dough".
mercurial	fickle; changing	He was of a mercurial temperament and therefore unpredictable.
meretricious	flashy; tawdry; falsely attractive	Her jewels were inexpensive but not meretricious.
merger	combination (of two business corporations)	When the firm's president married the director of financial planning, the office joke was that it wasn't a marriage, it was a merger.
mesmerize	hypnotize	The incessant drone seemed to mesmerize him and place him in a trance.
metallurgical	pertaining to the art of removing metals from ores	During the course of his metallurgical research, the scientist developed a steel alloy of tremendous strength.
metamorphosis	change of form	The metamorphosis of caterpillar to butterfly is typical of many such changes in animal life.
metaphor	implied comparison	"He soared like an eagle" is an example of a simile; "He is an eagle in flight," is a metaphor.
metaphysical	pertaining to speculative philosophy	The modern poets have gone back to the fanciful poems of the metaphysical poets of the seventeenth century for many of their images.
mete	measure; distribute	He tried to be impartial in his efforts to mete out justice.
meteoric	swift; momentarily brilliant	We all wondered at his meteoric rise to fame.
methodical	systematic	An accountant must be methodical and maintain order among his financial records.
meticulous	excessively careful	He was meticulous in checking his accounts and never made mistakes.
metropolis	large city	Every evening this terminal is filled with the thousands of commuters who are going from this metropolis to their homes in the suburbs.
mettle	courage; spirit	When challenged by the other horses in the race, the thoroughbred proved its mettle by its determination to hold the lead.
miasma	swamp gas; heavy, vaporous atmosphere, often emanating from decaying matter; pervasive	corrupting influence The smog hung over Victorian London like a dark cloud; noisome, reeking of decay, it was a visible miasma.
microcosm	small world	In the microcosm of our rural village, we find illustrations of all the evils that beset the universe.
migrant	changing its habitat; wandering	These migrant birds return every spring.
migratory	wandering	The return of the migratory birds to the northern sections of this country is a harbinger of spring.
milieu	environment; means of expression	His milieu is watercolors, although he has produced excellent oil paintings and lithographs.
militant	combative; bellicose	Althoughat this time he was advocating a policy of neutrality, one could usually find him adopting a more militant attitude.
militate	work against	Your record of lateness and absence will militate against your chances of promotion.
millenium	thousand-year period; period of happiness and prosperity	I do not expect the milennium to come during my lifetime.
millinery	person who makes or sells women's hats	The millinery displayed fashionable hats in the street where many women passed by.
mimicry	imitation	Her gift for mimicry was so great that her friends said that she should be in the theater.
minatory	menacing; threatening	Jabbing a minatory forefinger at Dorothy, the Wicked Witch cried, "I'll get you, and your little dog, too!"
mincing	affectedly dainty	Yum-Yum walked across the stage with mincing steps.
minion	a servile dependent	He was always accompanied by several of his minions because he enjoyed their subservience and flattery.
minuscule	extremely small	Why should I involve myself with a project with so minuscule a chance for success?
minute	extremely small	The twins resembled one another closely; only minute differences set them apart.
minutiae	petty details	She would have liked to ignore the minutiae of daily living.
mirage	unreal reflection; optical illusion	The lost prospector was fooled by a mirage in the desert.
mire	entangle; stick in swampy ground	Their rear wheels became mired in mud.
mirth	merriment; laughter	Sober Malvolio found Sir Toby's mirth improper.
misadventure	mischance; ill luck	The young explorer met death by misadventure.
misanthrope	one who hates mankind	We thought the hermit was a miantrope because he shunned our society.
misapprehension	error; misunderstanding	To avoid msapprehension, I am going to ask all of you to repeat the instructions I have given.
miscellany	mixture of writings on various subjects	This is an interesting miscellany of nineteenth-century prose and poetry.
mischance	ill luck	By mischance, he lost his week's salary.
misconstrue	interpret incorrectly; misjudge	She took the passage seriously rather than humourously because she misconstrued the author's ironic tone.
miscreant	wretch; villain	His kindness to the miscreant amazed all of us who had expected to hear severe punishment pronounced.
misdemeanor	minor crime	The culprit pleaded guilty to a misdemeanor rather than face trial for a felony.
miserly	stingy; mean	The miserly old man hoarded his coins not out of prudence but out of greed.
misgivings	doubts	Hamlet described his misgivings to Horatio but decided to fence with Laertes despite his foreboding of evil.
mishap	accident	With a little care you could have avoided this mishap.
misnomer	wrong name; incorrect designation	His tyrannical conduct proved to all that his nickname, King Eric the Just, was a misnomer.
misogamy	hatred of marriage	He remained a bachelor not because of misogamy but because of ill fate: his fiancee died before the wedding.
misogynist	hater of women	She accused him of being a misogynist because he had been a bachelor all his life.
missile	object to be thrown or projected	Scientists are experimenting with guided missiles.
missive	letter	The ambassador received a missive from the Secretary of State.
mite	very small object or creature; small coin	Gnats are annoying mites that sing.
mitigate	appease	Nothing he did could mitigate her wrath; she was unforgiving.
mnemonic	pertaining to memory	He used mnemonic tricks to master new words.
mobile	movable; not fixed	The mobile blood bank operated by the Red Cross visited our neighborhood today.
mode	prevailing style	She was not used to their lavish mode of living.
modicum	limited quantity	Although his story is based on a modicum of truth, most of the events he describes are fictitious.
modish	fashionable	She always discarded all garments that were no longer modish.
modulation	toning down; changing from one key to another	When we she spoke, it was with quiet modulation of voice.
mogul	powerful person	The oil moguls made great profits when the price of gasoline rose.
molecule	the smallest particle (one or more atoms) of a substance that has all the properties of that	substance In chemistry, we study how atoms and molcules react to form new substances.
mollify	soothe	We tried to mollify the hysterical child by promising her many gifts.
mollycoddle	pamper; indulge excessively	Don't mollycoddle the boy, Maud! You'll spoil him.
molt	shed or cast off hair or feathers	The male robin molted in the spring.
molten	melted	The city of Pompeii was destroyed by volcanic ash rather than by molten lava flowing from Mount Vesuvius.
momentous	very important	On this momentous occasion, we must be very solemn.
momentum	quantity of motion of a moving body; impetus	The car lost momentum as it tried to ascend the steep hill.
monarchy	government under a single hereditary ruler with varying degrees of power	England today remains a monarchy.
monastic	related to monks	Wanting to live a religious life, he took his monastic vows.
monetary	pertaining to money	Jane held the family purse strings: she made all monetary decisions affecting the household.
monochromatic	having only one color	Most people who are color blind actually can distinguish several colors; some, however, have a truly monochromatic view of a world all in shades of gray.
monolithic	solidly uniform; unyielding	Knowing the importance of appearing resolute, the patriots sought to present a monolithic front.
monotheism	belief in one God	Abraham was the first to proclaim his belief in monotheism.
monotony	sameness leading to boredom	He took a clerical job, but soon grew to hate the monotony of his daily routine.
monumental	massive	Writing a dictionary is a monumental task.
moodiness	fits of depression or gloom	We could not discover the cause of her recurrent moodiness.
moratorium	legal delay of payment	If we declare a moratorium and delay collection of debts for six months, I am sure the farmers will be able to meet their bills.
morbid	given to unwholesome thought; gloomy	These morbid speculations are dangerous; we must lighten our spirits by emphasizing more pleasant matters.
mordant	biting; sarcastic; stinging	Actors feared the critic's mordant pen.
mores	customs	The mores of Mexico are those of Spain with some modifications.
moribund	at the point of death	The doctors called the family to the bedside of the moribund patient.
morose	ill-humored; sullen	When we first meet Hamlet, we find him morose and depressed.
mortician	undertaker	The mortician prepared the corpse for burial.
mortify	humiliate; punish the flesh	She was so mortified by her blunder that she ran to her room in tears.
mosaic	picture made of smell, colorful inlaid tiles	The mayor compared the ciry to a beautiful mosaic made up of people of every race and religion on earth.
mote	small speck	The tiniest mote in the eye is very painful.
motif	theme	This simple motif runs throughout the score.
motility	ability to move spontaneously	Certain organisms exhibit remarkable motility; motile spores, for example, may travel for miles before coming to rest.
motley	parti-colored; mixed	The captain had gathered a motley crew to sail the vessel.
mottled	spotted	When he blushed, his face took on a mottled hue.
mountebank	charlatan; boastful pretender	The patent medicine man was a mountebank.
muddle	confuse; mix up	His thoughts were muddled and chaotic.
muggy	warm and damp	August in New York City is often muggy.
mulct	defraud a person of something	The lawyer was accused of trying to mulct the boy of his legacy.
multifarious	varied; greatly diversified	A career woman and mother, she was constantly busy with the multifarious activities of her daily life.
multiform	having many forms	Snowflakes are multiform but always hexagonal.
multilingual	having many languages	Because they are bordered by so many countries, the Swiss people are multilingual.
multiplicity	state of being numerous	He was appalled by the multuplicity of details he had to complete before setting out on his mission.
mundane	worldly as opposed to spiritual	He was concerned only with mundane matters, especially the daily stock market quotations.
munificent	very generous	The munificent gift was presented to the bride by her rich uncle.
murkiness	darkness; gloom	The murkiness and fog of the waterfront that evening depressed me.
